id,name,category,subcategory,theme,rarity,primary_color,secondary_color,accent_color,finish,width_px,height_px,weight_g,damping,stiffness,max_swing_deg,anchor_type,hole_required,sound_on_attach,sound_on_move,sound_on_interact,asset_status,asset_path
mini_swiss_army_knife,Pocket Swiss Army Knife Keychain,keychain,metal_link,useless_gadget,rare,#D32F2F,#FFFFFF,#C0C0C0,glossy,38,125,26.0,0.74,0.50,32.0,top_right_hook,True,sfx_clasp_lock,sfx_bead_clink_gentle,meme_oh_hell_na,planned,assets/mini_swiss_army_knife.png
disco_crystal_ball,Faceted Disco Crystal Ball,charm,beaded_strand,y2k,epic,#E0E0E0,#FFFFFF,#A0E0FF,glitter,44,118,20.5,0.79,0.40,38.0,top_right_hook,True,bgm_audio_theme,sfx_bead_clink_gentle,bgm_audio_theme,planned,assets/disco_crystal_ball.png
sakura_cherry_blossom,Sakura Blossom Enamel Pendant,charm,beaded_strand,pastel_kawaii,rare,#FFB7C5,#FFF0F5,#B76E79,glossy,42,122,16.5,0.83,0.36,41.0,top_right_hook,True,sfx_magic_sparkle,sfx_bead_clink_gentle,sfx_magic_sparkle,planned,assets/sakura_cherry_blossom.png
goth_skull_chain,Gothic Chrome Skull Chain,keychain,metal_link,gothic,uncommon,#2C3E50,#1A1A1A,#BDC3C7,metallic_silver,40,130,31.0,0.70,0.55,28.0,top_right_hook,True,meme_scary_music,sfx_bead_clink_energetic,meme_scary_music,planned,assets/goth_skull_chain.png
silver_chrome_charm_cluster,Silver Chrome Charm Cluster Keychain,keychain,ball_chain,chrome_y2k,rare,#E8E8E8,#B8B8B8,#FFFFFF,metallic_silver,58,142,34.0,0.72,0.45,32.0,top_right_hook,True,sfx_clasp_lock,sfx_bead_clink_energetic,sfx_bead_clink_energetic,ready,assets/silver_keychain_file.jpg
crocheted_floral_bouquet_charm,Crocheted Floral Bouquet Keychain,keychain,yarn_crochet,cottagecore_handmade,rare,#FF69B4,#008080,#FFFFFF,matte,62,138,21.0,0.86,0.40,38.0,top_right_hook,True,sfx_aww_reaction,sfx_bead_clink_gentle,sfx_aww_reaction,ready,assets/crochet_flower_keychain.jpg
cyber_glow_keycard,Cyberpunk Access Keycard Strap,strap,fabric_ribbon,cyberpunk,epic,#00F0FF,#FF003C,#121212,fluorescent,34,145,13.5,0.86,0.32,46.0,top_right_hook,True,sfx_clasp_lock,sfx_swift_whoosh,sfx_pixel_powerup,planned,assets/cyber_glow_keycard.png
party_birthday_hat,Celebration Party Hat,hat,headwear,festive,common,#FF3366,#33CCFF,#FFCC00,matte,48,44,5.0,0.92,0.70,15.0,head_perch,False,sfx_party_horn,sfx_swift_whoosh,sfx_party_horn,planned,assets/party_birthday_hat.png
mini_top_hat_monocle,Gentleman's Top Hat & Monocle,hat,headwear,vintage_victorian,rare,#1A1A1A,#8B0000,#DAA520,matte,62,52,9.0,0.88,0.65,18.0,head_perch,False,sfx_clasp_lock,sfx_swift_whoosh,meme_omg,planned,assets/mini_top_hat_monocle.png
detective_magnifier_hat,Detective Deerstalker Cap,hat,headwear,mystery,uncommon,#8B7355,#4A3C31,#D2B48C,matte,68,38,7.5,0.90,0.68,16.0,head_perch,False,sfx_clasp_lock,sfx_swift_whoosh,meme_omg,planned,assets/detective_magnifier_hat.png
cozy_winter_beanie,Cozy Knitted Pom-Pom Beanie,hat,headwear,cozy,common,#48D1CC,#FFFFFF,#20B2AA,matte,58,48,8.2,0.89,0.62,20.0,head_perch,False,sfx_aww_reaction,sfx_swift_whoosh,sfx_aww_reaction,planned,assets/cozy_winter_beanie.png
cowboy_stetson_hat,Wild West Cowboy Stetson,hat,headwear,western,uncommon,#A0522D,#5C2E0B,#C0C0C0,matte,72,40,9.5,0.87,0.66,18.0,head_perch,False,sfx_clasp_lock,sfx_swift_whoosh,meme_oh_hell_na,planned,assets/cowboy_stetson_hat.png
chef_toque_hat,Crisp White Chef Toque,hat,headwear,culinary,common,#FFFFFF,#F0F0F0,#CCCCCC,matte,52,56,6.0,0.91,0.64,22.0,head_perch,False,sfx_clasp_lock,sfx_swift_whoosh,meme_omg,planned,assets/chef_toque_hat.png
wizard_pointy_hat,Sorcerer's Starlight Wizard Hat,hat,headwear,fantasy_magic,legendary,#4B0082,#7B1FA2,#FFD700,glitter,64,62,7.8,0.89,0.60,24.0,head_perch,False,sfx_magic_sparkle,sfx_swift_whoosh,sfx_magic_sparkle,planned,assets/wizard_pointy_hat.png
classic_red_gift_bow,Satin Red Gift Wrap Bow,bow,fabric_ribbon,festive,common,#E50914,#B20710,#FF6B6B,glossy,44,42,3.5,0.94,0.80,12.0,top_right_hook,False,sfx_aww_reaction,sfx_swift_whoosh,sfx_aww_reaction,planned,assets/classic_red_gift_bow.png
coquette_pink_ribbon,Balletcore Coquette Lace Bow,bow,fabric_ribbon,pastel_kawaii,uncommon,#FFD1DC,#FFF0F5,#FFB6C1,pearlescent,50,75,2.8,0.95,0.40,50.0,center_pin,False,sfx_aww_reaction,sfx_swift_whoosh,sfx_aww_reaction,ready,assets/desktop_file_pink_bow.jpg
black_velvet_bow,Gothic Noir Velvet Bow,bow,fabric_ribbon,gothic,rare,#0F0F0F,#262626,#E0E0E0,matte,48,60,5.2,0.90,0.55,25.0,top_right_hook,False,sfx_clasp_lock,sfx_swift_whoosh,meme_scary_music,planned,assets/black_velvet_bow.png
fragile_caution_tape,Fragile Handle-with-Care Tape,sticker,adhesive,industrial,common,#FFCC00,#000000,#FF3300,matte,80,28,0.5,1.00,1.00,0.0,corner_wrap,False,sfx_tape_peel,sfx_swift_whoosh,meme_oh_hell_na,planned,assets/fragile_caution_tape.png
top_secret_stamp,Classified TOP SECRET Stamp,sticker,adhesive,clandestine,uncommon,#C0392B,#962D22,#E74C3C,matte,74,32,0.0,1.00,1.00,0.0,center_pin,False,sfx_stamp_thump,sfx_swift_whoosh,meme_spongebob_later,planned,assets/top_secret_stamp.png
verified_blue_badge,Verified Checkmark Metal Pin,pin,metal_link,social_satire,rare,#1DA1F2,#FFFFFF,#0D8BD9,glossy,28,28,8.0,0.96,0.90,5.0,top_right_hook,False,sfx_clasp_lock,sfx_swift_whoosh,meme_faaah,planned,assets/verified_blue_badge.png
cat_laugh_meme_sticker,Crying Laughing Cat Sticker,sticker,adhesive,meme,common,#FFA500,#FFFFFF,#FF4500,glossy,42,42,0.2,1.00,1.00,0.0,corner_grommet,False,meme_cat_laughing,sfx_swift_whoosh,meme_cat_laughing,planned,assets/cat_laugh_meme_sticker.png
helicopter_beanie_spinner,Motorized Propeller Beanie,hat,headwear,meme,legendary,#FF3B30,#007AFF,#FFCC00,matte,64,50,11.0,0.85,0.60,20.0,head_perch,False,sfx_helicopter_spin,sfx_helicopter_spin,sfx_helicopter_spin,planned,assets/helicopter_beanie_spinner.png
gentleman_mustache,Gentleman's Handlebar Mustache,pin,center_mount,vintage_gentleman,rare,#111111,#222222,#FFFFFF,glossy,64,24,6.0,0.95,0.90,4.0,center_pin,False,sfx_clasp_lock,sfx_swift_whoosh,meme_omg,ready,assets/desktop_file_mustache.jpg
cool_black_sunglasses,Classic Wayfarer Black Sunglasses,pin,center_mount,cool_swagger,uncommon,#111111,#2C3E50,#C0C0C0,glossy,72,26,7.0,0.95,0.90,4.0,center_pin,False,sfx_clasp_lock,sfx_swift_whoosh,meme_omg,ready,assets/desktop_file_sunglasses.jpg
cozy_red_knitted_scarf,Cozy Knitted Crimson Winter Scarf,sticker,wrap_around,cozy_winter,uncommon,#C0392B,#962D22,#E74C3C,matte,82,48,12.0,0.96,0.75,10.0,corner_wrap,False,sfx_aww_reaction,sfx_swift_whoosh,sfx_aww_reaction,ready,assets/desktop_file_red_scarf.jpg
